Coal,29
"Coal Production, by Source",29
"Coal Importation, by Country of Source",31
"Coal Exportation, by Country of Destination",33
"Coal Consumption, by Major Type of User",35
Renewable Energy Production,36
"Biomass Production, by Fuel Type",36
"Geothermal, Hydro, Wind, Solar and Biomass",38
Power,40
Installed Generating Capacity,40
"Power Generation, by Source",42
"Power Consumption, by Sector",46
Regional Household Electrification Level,48
Glossary,51
Units of Measurement and Conversion Table,54
