,Glossary
Condensate,Liquid hydrocarbons separated from gas
,production.
Dependable,The capacity that can be relied upon to carry
Capacity,system load for a specified time interval and
,"period, provide assumed reserve, and/or meet"
,firm power obligations.
Electrification,Electrification is either done through grid or off-
,grid connection.  When a barangay is provided
,"with electricity through grid connection, it"
,means that the distribution line has reached the
,barangay proper.  It may also mean that almost
,50.0 percent of potential households in the
,barangay are connected to a distribution utility
,(DU) (i.e. MERALCO) or at least one is connected
,to other DUs. Off-grid connection pertains to
,a barangay having about 20 to 30 households
,availing the connection.
Energy Intensity,Calculated as units of energy (million tons of
,"oil equivalent, MTOE) per unit of GDP (in billion"
,pesos).
Energy Per Capita,Amount of energy used per person. It is
,calculated as total primary energy demand (in
,MTOE) over population (in millions).
Energy Self,The ratio of the country's domestic energy
Sufficiency,supply to total supply; measures the degree at
,which domestic energy forms can support total
,energy demand.
Energy to GDP,The percentage change in energy supply to
Elasticity,achieve one per cent change in national GDP.
,Calculated as the ratio of growth of primary
,energy demand over GDP growth.
Gas (or Natural Gas),A naturally occurring mixture of hydrocarbon
,and non-hydrocarbon gases in porous
,"formations beneath the earth's surface, often"
,in association with petroleum. The principal
,constituent is methane.
