Abbreviations And Acronyms Used,
BBL,Barrels
DOTr,Department of Transportation
GDP,Gross Domestic Product
GHG,Greenhouse gas
GVA,Gross-value added
GWh,Gigawatt-Hour
GWP,Global Warming Potential
,
ktCO2e,
kTOE,Thousand tons of oil equivalent
kWh,Kilowatt-hour
LRT,Light Rail Transit
MB,Thousand Barrels
MMB,Million Barrels
MMMT,Million Metric Tons
MMSCF,Million Standard Cubic Feet
MMT,Thousand Metric Tons
MRT,Metro Rail Transit
,
MTCO2e,
MTOE,Million tons of oil equivalent
MW,Megawatt
MWh,Megawatt-hour
ROM,Run of Mine
,
tCO2e,
TFEC,Total Final Energy Consumption
TOE,Tons of oil equivalent
TPES,Total Primary Energy Supply
TWh,Terra-watt Hour
