,The  ratio  of  the  country’s  domestic  energy
Energy Self,supply  to  total  supply;  measures  the  degree
Sufficiency,at which domestic energy forms can support
,total energy demand.
,The  percentage  change  in  energy  supply  to
Energy to GDP,achieve one percent change in national GDP.
Elasticity,Calculated as the ratio of growth of primary
,energy demand over GDP growth.
,A naturally occurring mixture of hydrocarbon
,"and 
non-hydrocarbon 
gases 
in 
porous"
Gas,
,"formations beneath the earth's surface, often"
(or Natural Gas),
,in  association  with  petroleum.  The  principal
,constituent is methane.
,"Energy generated by heat stored in the earth,"
Geothermal,or  the  collection  of  absorbed  heat  derived
Energy,"from  underground 
in  the  atmosphere  and"
,oceans.
,Total  market  value  of  all  final  goods  and
,"services  produced  within  the  country 
in  a"
Gross Domestic,"given period of time (usually a calendar year),"
Product (GDP),or the sum of value added of all final goods
,and  services  produced  within  a  country  in  a
,given period of time.
,The  value  of  all  (final)  goods  and  services
Gross National,"produced in a country in one year, plus income"
Product (GNP),"earned  by  its  citizens  abroad,  minus  income"
,earned by foreigners in the country.
