sold in 20249. Compliance with the new mandated 3 percent blend that took effect in,
"October  2024,  biodiesel  demand  levels  improved  by  5.1  percent  to  126.8  kTOE  from",
"last  year’s  120.6  kTOE.  Consumption  of  bioethanol  reached  461.8  kTOE  in  2024,  5.6",
percent more than its 2023 level of 437.1 kTOE. These uptrend remained consistent with,
national goals of reduced dependence on imported fuels and promotion of alternative,
fuels for transportation.,
2.  Households,
"In 2024, the household sector maintained its position as the second-largest energy-",
consuming sector in the Philippines with its 28.2 percent share to TFEC. Energy use for,
household activities increased by 4.3 percent to 11.0 MTOE from 10.5 MTOE in 2023. This,
"upward trend was largely attributed to enhanced access to energy services, driven by",
"the  government’s  sustained  electrification  initiatives,  expanded  availability  of  clean",
"cooking fuels, and programs promoting energy efficiency at the household level.",
"Biomass  remained  the  primary  fuel  source,",with  fuelwood  accounting  for  37.8
"percent of household energy use (Figure 6), followed by charcoal at 13.0 percent and",
agricultural  waste  at  4.4  percent.  Although  total  biomass  consumption  grew  slightly,
"by 1.0 percent from 6.0 MTOE in 2023 to 6.1 MTOE in 2024, its share to the household",
energy mix declined by 1.8 percentage points. This shift reflected a gradual transition,
"toward cleaner and more modern fuels, such as electricity and LPG, driven by improved",
electrification and wider access to clean cooking technologies.,
Successfully  electrified  over,"reported  by 
the"
"Distribution Utilities (DUs) as of the first half of 2024, the Department of Energy (DOE)",
continued the implementation of its Total Electrification Program10. This development,
"led  to  an  11.5  percent  increase  in  household  electricity  consumption,  which  reached",
3.5  MTOE  in  2024  and  accounted  for  32.3  percent  of  the  household  energy  mix.  The,
"increased  adoption  of  electricity,  recognized  as  a  cleaner  and  more  efficient  fuel,",
reflected a growing preference for modern energy sources and marked a shift away,
from traditional fuels.,
"Liquefied 
petroleum 
gas",
"(LPG) 
consumption 
rose",
,
"modestly 
by 
1.9 
percent",
"to  1.3  MTOE 
in  2024  and",
comprised 12.2 percent of the,
,Charcoal
household  energy  demand,
,13.0%
"mix.  Meanwhile, 
kerosene",
use  declined  by  6.2  percent,
to  29.9  kTOE  in  2024.  These,
trends  reflected  the  impact,"Other
Biomass"
"of 
improved  electrification",LPG
"and 
expanded 
access 
to","12.2%
4.4%"
"cleaner 
technologies 
on",
,
"household 
fuel 
choices.",
"9 
Mioten,  E. 
(2025,  March 
3).  The  Philippines’",https://www.bworldonline.com/special-fea-
,
"10  2024–2033 National Total Electrification Roadmap, DOE",
