,emerged  as  the  most  widely  used  oil  product  in  the  services  sector  in  2024  and
,comprised 32.9 percent of the sector’s energy consumption. Liquefied petroleum gas
,"(LPG) registered a 6.7 percent increase in usage that reached 519.4 kTOE,  comprised"
,the 10.1 percent of the sector’s energy demand. This was largely due to sustained use in
,"restaurants, catering services, and other commercial establishments for cooking fuel."
,"In contrast, fuel oil utilization fell by 2.4 percent attributed to the transition toward more"
,"cost-effective or environmentally friendly options. Meanwhile, biomass use in the sector"
,"inched up by 0.7 percent, as it maintained its utilization among food establishments."
,
,Energy consumption in the agriculture sector reached 438.8 kTOE in 2024 or 9.3 percent
,"higher  than  its  401.6  kTOE  in  2023,  reflected  a  share  of  1.1  percent  of  the  country’s"
,"TFEC. The hike in the sector’s energy use mirrored the shift to mechanized operations,"
,"expanded livestock farming, as well as resilient harvests that required processing and"
,transport and increased use of cold storage and processing facilities.
The  agri-industry  subsector’s  energy,
,
demand  went  up  by  6.3  percent  to,
,1.0
"244.3  kTOE  compared 
to 
its  year-",
ago  level  of  229.8  kTOE.  This  growth,
primarily  stemmed  from  heightened,
,170.8
activity in crop production and animal,
"raising14. 
The 
combined 
shares  of",
"crops,  livestock  and  poultry  and  agri",
,
,10.0
services  totaled  more  than  half  (55.7,
percent)  of  the  agriculture  sector’s,61.9
energy  requirement  (Figure 10).  On,
"the other hand, energy use in livestock",
and  poultry  rose  by  12.5  percent  to,
,157.9
"69.6  kTOE 
in 
2024,  driven  mainly",
"by  commercial  poultry 
farms 
that",
relied  mainly  on  electricity  for  feed,
"processing,  water,  and 
ventilation.",2023 = 401.6 kTOE
,Livestock & Poultry
Agricultural  services  also  saw  a  13.2,
,Forestry
"percent 
rise 
in  electricity  use 
for",
,"Figure 10: AFF Energy Demand Mix, by Sub-sector (kTOE): 2024"
post-harvest and logistics operations.,
,Energy consumption in the fishery sub-sector went up by 13.2 percent to 193.3 kTOE in
,"2024. The uptake was due to increased reliance on cold storage and aeration systems,"
,as  well  as  expanded  fishing  activities  in  areas  recovering  from  the  past  climate
,"disruptions.  Meanwhile,  forestry,  though  a  minor  component  of  agricultural  energy"
,"use, increased slightly from 1.0 kTOE to 1.1 kTOE, consistent with small gains in logging"
,and wood processing activities in upland areas.
,Electricity  accounted  for  more  than  two-thirds  (65.6  percent)  of  the  agriculture
,sector’s  energy  demand  mix  and  saw  a  significant  surge  of  13.2  percent  in  2024
,
