Geothermal Energy,"Energy generated by heat stored in the earth,"
,or the collection of absorbed heat derived from
,underground in the atmosphere and oceans.
Gross Domestic,Total market value of all final goods and services
Product (GDP),produced  within  the  country  in  a  given  period
,"of  time  (usually  a  calendar  year),  or  the  sum"
,of  value  added  of  all  final  goods  and  services
,produced within a country in a given period of
,time.
Gross National,"The  value  of  all 
(final)  goods  and  services"
Product (GNP),"produced in a country in one year, plus income"
,"earned  by 
its  citizens  abroad,  minus 
income"
,earned by foreigners in the country.
Hydropower,"""Also  called  hydraulic  power  or  water  power;"
,"derived from the force or energy of moving water,"
,which  may  be  harnessed  for  useful  purposes.
,""""
Indigenous Energy,Refers  to  all  energy  forms  produced/sourced
,from within the country's natural resources.
Installed Capacity,"The 
total  of 
the 
capacities 
shown  on 
the"
,"nameplates 
of 
the 
generating 
units 
in 
a"
,powerplant.
Renewable Energy,Energy generated from natural resources which
,"are naturally replenished. It includes solar power,"
,"wind 
power, 
hydroelectricity,  micro 
hydro,"
,biomass and biofuels.
Run of Mine,Coal directly coming from the mine
Total Final Energy,The sum of all energy forms consumed/used by
Consumption (TFEC),different economic sectors
Total Primary Energy,"The  sum  of 
total  final  consumption,  power"
Demand (TPED),"generation,  other  energy  sector  (own  use  and"
,losses).
Total Primary Energy,The  sum  of  all  energy  derived  from  domestic
Supply (TPES),"sources (indigenous, renewable), imported from"
,"outside  the  country,  stock  change  (+/-)  and"
,export (-)
