,"(12) bioethanol plants, with an aggregate capacity of 438.0 MLPY22."
,B. Net Energy Imports
The  volume  of  total  net  energy,
,
"inflows 
rose  by  8.6  percent 
to",
,
"38.0  MTOE  in  2024,  up  from  35.1",
"MTOE 
in  the  previous  year.  This",
,
surge helped sustain the country’s,
"energy 
needs 
amidst 
rising",
domestic  demand  and  subdued,
,Coal
,
local  energy  production  during,42.7%
,
the  year.  Crude  oil  and  finished,
petroleum products accounted for,
,
"the  largest  share  at  53.0  percent,",
followed  closely  by  coal  with  42.7,
,
"percent 
share,  while 
liquefied",
,
"natural  gas 
(LNG)  and  ethanol",
contributed the remaining portion,
,
(4.3 percent) (Figure 15).,
,Combined  import  volume  of  crude  and  finished  petroleum  products  in  2024  slowed
