"demand  and  increased  adoption  of  e-commerce  and  digital  technologies.  Thus,  the",
sector’s posted the second-fastest acceleration vis-à-vis other end use sectors at 8.5,
percent to 5.1 MTOE from its 2023 level of 4.7 MTOE.,
,"Electricity 
demand 
reached"
,
Biomass,
6.5%,2.4 MTOE or 6.9 percent higher
,than  its  year-ago  level  of  2.3
,"MTOE, 
and 
accounted 
for"
,close  to  half  (46.9  percent)  of
,the  sector’s  energy  demand
,
,"mix 
for 
2024. 
It 
signaled"
,
,"the 
continued 
reliance 
of"
,
Electricity,
,"the 
sector  on  electricity  as"
46.9%,
,"fuel 
for 
lighting  and 
space"
,
,"cooling 
requirements 
in"
,
,"offices, 
retail 
shops, 
hotels,"
,"and 
healthcare 
facilities."
,
,"Diesel, 
used 
extensively 
as"
,fuel  for  backup  generators  to
"Figure 9: Services Energy Demand Mix, by Fuel Shares: 2024",
,"ensure  operational  continuity,"
