v.  Wind,
Wind energy fell by 5.3 percent to 106.5 kTOE in 2024 compared to 112.5 kTOE in 2023.,
"While  it  accounted  for  0.2  percent  of  the  energy  mix  during  the  year,  offshore  wind",
"(OSW) development remained on the upswing. As of December 2024, 291 OSW service",
contracts  have  been  issued  which  are  expected  to  expand  the  country’s  current,
installed capacity of 426.9 MW20.,
vi. Biofuels,
"In  2024,",increased
demand  for  transport  fuels  and  compliance  with  Biofuels  Act  of  2006.  Biodiesel,
"production  reached  218.8  kTOE  or  17.6  percent  higher  than  its  year-ago  level,  while",
bioethanol output increased by 1.2 percent to 216.6 kTOE. These expansions reflected,
the  operational  performance  of  twelve  (12)  biodiesel  production  facilities  with  a,
"combined annual capacity of 615.3 million liters per year (MLPY)21, as well as twelve",
"(12) bioethanol plants, with an aggregate capacity of 438.0 MLPY22.",
B. Net Energy Imports,
,
