"industrial processes tempered the pace of energy consumption in the sector. Meanwhile,",
utilization of energy commodities as raw materials or feedstocks and inputs to various,
"production process reached 1.5 MTOE, up by 9.4 percent from its year-ago level of 1.4 MTOE.",
A. Total Final Energy Consumption by Fuel,
Oil and petroleum products continued to dominate the TFEC with an aggregate share,
"of 50.8 percent, as their utilization increased by 4.9 percent from its year-ago level of",
18.8  MTOE  to  19.8  MTOE (Figure 3).  The  uptrend  reflected  the  country’s  reliance  on,
"petroleum products, especially for transport which accounted for 65.5 percent share",
"of  the  total  oil  demand  in  2024,  up  by  5.1  percent  from  its  2023  level  of  12.3  MTOE.",
The Services sector notably augmented its consumption of oil and petroleum products,
with an 11.3 percent of increase in 2024 and 11.9 percent share to the oil demand mix.,
Increase,consumption
