"I. 
TOTAL FINAL ENERGY CONSUMPTION",7
"A. Total Final Energy Consumption, by Fuel",8
"B. Total Final Energy Consumption, by Sector",9
1. Transport,9
2. Households,11
3. Industry,12
4. Services,13
5. Agriculture,14
"II. 
TRANSFORMATION",15
A. Oil Refining,15
B. Power Generation and Fuel Input,16
III.  TOTAL PRIMARY ENERGY SUPPLY,17
A. Indigenous Energy,18
1. Fossil Fuels,18
i.  Oil,18
ii.  Coal,18
iii.  Natural Gas,19
2. Renewable Energy,19
"i.  Geothermal, Biomass, Hydro, Solar",19
ii.  Wind and Biofuels,20
B. Net Energy Imports,20
"IV. 
ENVIRONMENTAL IMPACT",23
"V. 
ENERGY – ECONOMY and ENVIRONMENTAL INDICATORS",25
A. Energy Intensity,26
B. Energy Elasticity,26
A. Energy Per Capita,27
B. GHG Emission,27
"VI. 
ENERGY BALANCE TABLES, 2024 and 2023",28
