"Source
2014
2015
2016
2017
2018
2019"
"Middle East
 49,086 
 67,855 
 68,537 
 69,345 
 74,555 
 41,521 
     Saudi Arabia
 37,103 
 34,427 
 28,438 
 27,097 
 28,880 
 15,498 
     Kuwait (b)
 -   
 16,877 
 26,448 
 24,475 
 22,589 
 15,925 
     UAE
 6,403 
 9,087 
 10,507 
 13,549 
 17,759 
 9,136 
     Qatar
 5,579 
 7,464 
 2,618 
 2,999 
 4,235 
 -   
     Oman (c) 
 -   
 -   
 524 
 1,225 
 1,091 
 961 
Indonesia (d) 
 -   
 -   
 396 
 -   
 221 
 -   
Malaysia (e)
 3,583 
 5,025 
 4,160 
 916 
 3,215 
 4,085 
Others**
 12,194 
 5,031 
 5,544 
 7,255 
 7,669 
 15,061"
"Total 
 64,862 
 77,911 
 78,637 
 77,516 
 85,660 
 60,666"
