"in 2024 vis-à-vis 2023, ethanol import volume rose by 19.6 percent in compliance with",
mandated blend ratios amidst increased demand from the transport sector.,
"The  country  remained  as  a  net  importer  in  2024,  as  it  recorded  a  trade  in  energy",
goods balance of 40.7 MTOE. This was 9.7 percent higher than its year-ago level and,
"attributed to a sharper rise in energy imports to 45.8 MTOE, which expanded by 9.1",
percent or more than double the previous year’s 4.5 percent growth in energy exports,
at 5.2 MTOE (Figure 16). Indonesia was the Philippines’ leading energy import partner,
with 45.7 percent share to energy imports due to its dominant role as coal supplier for,
"power generation. This was followed by South Korea (10.6 percent), China (9.0 percent),",
"Saudi Arabia (7.1 percent), and Singapore (4.2 percent). Together, the top five trading",
partners supplied 76.6 percent of the country’s total energy imports in 2024.,
"On the other hand, the Philippines shipped a total of 5.2 MTOE of combined oil, coal",
and  condensate  volume  in  2024.  China  continued  to  be  the  primary  destination  of,
"Philippine  energy  commodities,  particularly  coal,  as  it  absorbed  4.0  MTOE  or  77.2",
"percent of total energy exports due to strong trade relations, cost-efficient logistics,",
and  a  mutually  beneficial  trade  structure.  Other  key  export  markets  included  South,
"Korea  (7.4  percent),  Brunei  (4.2  percent),  Thailand  (2.5  percent),  and  Malaysia  (1.6",
"percent), bringing the top five destinations to a combined 92.8 percent share of total",
exports.,
For,in
"2023 to 1.8 MTOE in 2024, up by 9.6 percent due to continued recovery of global air",
"travel,  with  more  flight  routes  restored,  higher  passenger  traffic,  and  a  boost  from",
"tourism-related activities. Meanwhile, the combined diesel and fuel consumption for",
"international marine bunkers rose to 55.0 kTOE from 52.5 kTOE in 2023, or an increase",
"of 4.7 percent. This growth reflected stronger shipping activity, supported by higher",
international trade volumes and increased cargo movement through Philippine ports.,
"Both  segments  posted  year-on-year  gains,  highlighting  the  sustained  rebound  of",
international  transport  demand  after  earlier  pandemic-induced  contractions.  The,
combined volume of coal and other petroleum products was recorded as stock-build,
up in 2024 stood at 829.1 kTOE.,
