V. ENERGY – ECONOMY AND,
ENVIRONMENTAL INDICATORS,
"The Philippine economy continued to show resilience and steady momentum, posting",
a slightly faster gross domestic product (GDP) growth of 5.7 percent in 2024 compared,
"to  the  previous  year’s  5.5  percent.  Despite  this  modest  acceleration,  the  country",
ranked as the second fastest growing economy in the region – next to Vietnam and,
ahead of its other regional peers23. This underscored the domestic economy’s ability,
"to  sustain  growth  amidst  persistent  external  challenges,  including  subdued  global",
"demand,  climate-related  disruptions,  and  geopolitical  tensions  reminiscent  of  2023.",
The sectoral gross value added (GVA) of industry and services remained the strongest,
"engines of growth for the year, expanding by 6.7 percent and 5.6 percent, respectively.",
The  industry  benefitted  from  recovery  in  manufacturing  and  public  infrastructure,
while the services sector remained buoyant with thriving information technology and,
business  process  management  (IT-BPM)  activities24  and  domestic  tourism25.  On  the,
"other hand, the agriculture sector contracted by 1.5 percent, weighed down by back-",
"to-back  typhoons26  that  impacted  northern  Luzon,  coupled  with  the  prevalence  of",
animal diseases that disrupted the sector’s value chains during the year.,
On,includes  public  and  private
"construction,  was  the  largest  contributor  to  economic  growth  as  it  registered  a  7.7",
"percent expansion in 2024. Meanwhile, government spending grew by 7.3 percent, while",
