,Regional Household Electrification Level
Ilocos Region,
(Region I) 100%,Cordillera Administrative Region
,(CAR) 96.3%
Central Luzon,
,Cagayan Valley
(Region III) 100%,
,(Region II) 96.6%
,NCR
,(Metropolitan Manila) 98.5%
,Bicol Region
CALABARZON,
,(Region V) 91.0%
(Region IV-A) 100%,
,Central Visayas
,(Region VII) 99.8%
MIMAROPA,
(Region IV-B),
87.8%,
,Eastern Visayas
,(Region VIII) 95.9%
Western Visayas,
(Region VI) 96.4%,CARAGA
,(Region XIII) 96.4%
Negros Island Region,
(NIR) 87.0%,Northern
,Mindanao
Zamboanga Peninsula,
,(Region X) 93.5%
(Region IX) 83.3%,
Bangsamoro,Davao Region
Autonomous Region in,(Region XI) 89.2%
Muslim Mindanao,
(BARMM) 43.2%,SOCCSKSARGEN
,(Region XII) 86.2%
KEY ENERGY STATISTICS,
,
