,"of  the  total  oil  demand  in  2024,  up  by  5.1  percent  from  its  2023  level  of  12.3  MTOE."
,The Services sector notably augmented its consumption of oil and petroleum products
with an 11.3 percent of increase in 2024 and 11.9 percent share to the oil demand mix.,
"Increase
Decrease
Total","Electricity 
consumption"
"39,500",
,"registered 
an 
8.5"
,"percent increase in 2024,"
"39,000
38,897.9
33.5
162.3",
"66.0
5.1%",reaching  8.9  MTOE  and
"6.1%
696.5",
7.9%,comprising  23.0  percent
"2024
38,500
0.9%",
"8.5%
TFEC",
,"of 
TFEC 
(Figure  4)."
"920.8
38,000",
in kTOE,"Households 
remained"
4.9%,as  the  largest  electricity
"37,500",
,"user  with 
a 
share 
of"
"37,018.8",
,"nearly 
40 
percent 
to"
"37,000",
2023,
TFEC,"the 
total 
electricity"
"36,500","consumption 
(TEC).  The"
Oil & Oil,
,
"Electricity
Biomass
Coal
Biofuels
Product","Industry 
and 
Services"
"36,000",
,sectors  contributed  30.0
Figure 3: Level (in kTOE) and Percent Changes in TFEC by Fuel 2023 vs 2024,percent and 27.0 percent
,"shares,  respectively,  attributed  to  steady  demand  from  manufacturing,  businesses,"
