"transport  operations.  Meanwhile,  fuel  oil  use,  specifically  for  domestic  maritime",
"activities,  went  up  by  5.5  percent  in  2024  as  operators  favored  larger,  cost-efficient",
vessels amid weather disruptions. Consumption of aviation fuels dropped by 6.0 percent,
due  to  flight  cancellations  from  severe  weather  and  airline  fuel-saving  measures.,
"Consistent with the implementation of cleaner energy policies, such as biofuel blending",
"and  electrification  of  the  transport  sector,  the  country  continued  its  steady  shift  to",
alternative energy sources for transport in 2024. Electricity consumption rose to 60.4,
"percent, primarily due to the expanded use of EVs, with over 18,690 additional units",
6,"Desiderio, L. (2025, March 22). Domestic trade value down in Q4. Philstar.com. https://www.philstar.com/business/2025/03/23/2430327/domestic-trade-val-"
,ue-down-q4
7,"Reuters.  (2024,  October  25).  Tropical  Storm  Trami  kills  46  in  Philippines,  could  return  next  week.  NST  Online.  https://www.nst.com.my/world/re-"
,gion/2024/10/1125327/tropical-storm-trami-kills-46-philippines-could-return-next-week
8,"Zurbano,  J.  E.  (2024,  July  25).  MIAA:  148  flights  cancelled  in  Manila  due  to  Super  Typhoon  ‘Carina.’  Manila  Standard.  https://manilastandard.net/"
,news/314475985/miaa-148-flights-cancelled-in-manila-due-to-super-typhoon-carina.html
